,title,date,keywords_textrank,ai_entity,day,month,year,status
1310,San Francisco hopes AI will prevent bias in prosecutions,2019-06-13,"['bias', 'biased', 'ai', 'expo', 'like', 'tool']",data mining,13,6,2019,precovid
1311,Toward artificial intelligence that learns to write code,2019-06-14,"['program', 'programming', 'programmed', 'sketchadapt', 'writing', 'write', 'coding', 'learning code', 'learns', 'learn']",intelligent word recognition,14,6,2019,precovid
1312,How Amazon Cloned a Neighborhood to Test Its Delivery Robots,2019-06-14,"['amazon', 'say', 'scout', 'company', 'simulation']",semantic translation,14,6,2019,precovid
1313,Spy connected with targets on LinkedIn using AI-generated pic,2019-06-14,"['people', 'ai', 'fake', 'expo', 'like']",data mining,14,6,2019,precovid
1314,Teaching artificial intelligence to connect senses like vision and touch,2019-06-17,"['touch', 'touching', 'touched', 'tactile', 'model', 'object', 'robot', 'robotics']",robotics,17,6,2019,precovid
1315,Adobe has trained an AI to detect photoshopped images,2019-06-17,"['ai', 'deepfakes', 'deepfake', 'like', 'video', 'adobe']",speech generating device,17,6,2019,precovid
1316,Volvo picks up Nvidia to assist with AI for self-driving vehicles,2019-06-18,"['volvo nvidia', 'ai', 'truck', 'trucking', 'year']",artificial life,18,6,2019,precovid
1317,"Accenture: How automation, augmentation and innovation will mean success in AI initiatives",2019-06-18,"['ai', 'people', 'transform', 'transformation', 'need', 'needed', 'organisation', 'organisational']",semantic translation,18,6,2019,precovid
1318,How Facial Recognition Is Fighting Child Sex Trafficking,2019-06-19,"['thorn', 'child', 'cordua', 'new', 'use']",pattern recognition,19,6,2019,precovid
1319,"The Power, and Limits, of Artificial Intelligence",2019-06-20,"['ai', 'wired', 'data', 'thing', 'task']",handwriting recognition,20,6,2019,precovid
1320,Google discusses new reinforcement learning model in new “off-policy classification” paper,2019-06-21,"['google', 'agent', 'policy', 'expo', 'ai']",intelligent agent,21,6,2019,precovid
1321,Altoida raises $6.3 million in series A funding round to further AI-enabled healthcare goals,2019-06-24,"['expo', 'venture', 'altoida', 'early', 'healthcare']",automation,24,6,2019,precovid
1322,Artificial Intelligence Is Coming for Our Faces,2019-06-24,"['face', 'people', 'real', 'wired', 'west']",virtual reality,24,6,2019,precovid
1323,Samsung Electronics to strengthen neural processing capabilities for future applications,2019-06-25,"['ai', 'company', 'npu', 'samsung', 'advanced', 'advance']",artificial life,25,6,2019,precovid
1324,A Device to Detect 'Aggression' in Schools Often Misfires,2019-06-25,"['school', 'sounded', 'sound', 'sounding', 'aggression', 'aggressive', 'device', 'based']",image processing,25,6,2019,precovid
1325,Want to learn how to train an artificial intelligence model? Ask a friend.,2019-06-25,"['student', 'mit', 'mic', 'ai', 'silver']",artificial life,25,6,2019,precovid
1326,New AI programming language goes beyond deep learning,2019-06-26,"['researcher', 'research', 'gen', 'ai', 'model', 'modeling', 'probabilistic']",semantic search,26,6,2019,precovid
1327,"Translating proteins into music, and back",2019-06-26,"['protein', 'musical', 'music', 'sound', 'new', 'say']",pattern recognition,26,6,2019,precovid
1328,Drag-and-drop data analytics,2019-06-27,"['data', 'datasets', 'dataset', 'researcher', 'user', 'northstar']",semantic translation,27,6,2019,precovid
1329,Taser Maker Says It Won't Use Facial Recognition in Bodycams,2019-06-28,"['technology company', 'say', 'saying', 'axon', 'police', 'policing']",facial recognition,28,6,2019,precovid
1330,AI health startup Nuritas expects to discover five new drugs by 2021,2019-07-01,"['nuritas', 'expo', 'ai', 'expects', 'expected', 'expecting', 'healthcare']",semantic translation,1,7,2019,precovid
1331,Teaching artificial intelligence to create visuals with more common sense,2019-07-01,"['today smartphones', 'siggraph conference los']",speech recognition,1,7,2019,precovid
1332,China plans to launch a constellation of AI-powered satellites,2019-07-02,"['china', 'launch', 'launched', 'satellite', 'ai', 'expo']",intelligent agent,2,7,2019,precovid
1333,Smells Like AI Spirit: Baidu will help develop Intel’s Nervana neural processor,2019-07-03,"['intel', 'ai', 'baidu', 'expo', 'nnp']",intelligent agent,3,7,2019,precovid
1334,Facebook outage gave a glimpse at how its AI analyses images,2019-07-04,"['facebook', 'image', 'tagged', 'tag', 'tagging', 'user', 'expo']",game artificial intelligence,4,7,2019,precovid
1335,Baidu and Geely announce collaboration in AI technologies,2019-07-08,"['ai', 'geely', 'baidu', 'intelligent', 'industrial intelligence', 'industry']",artificial intelligence diagnosis,8,7,2019,precovid
1336,IDC: Half of AI projects fail for one in four companies,2019-07-09,"['ai', 'organisation', 'business', 'expo', 'idc']",information extraction,9,7,2019,precovid
1337,Instagram uses ‘AI intervention’ to help counter bullying,2019-07-10,"['instagram', 'bully', 'bullying', 'ai', 'expo', 'moderation', 'moderator']",named-entity extraction,10,7,2019,precovid
1338,Who’s Listening When You Talk to Your Google Assistant?,2019-07-10,"['google', 'recording', 'vrt', 'including', 'include', 'say']",handwriting recognition,10,7,2019,precovid
1339,Human-beating StarCraft 2 AI will compete anonymously in Europe,2019-07-11,"['play', 'played', 'starcraft playing ai', 'alphastar', 'game']",facial recognition systems,11,7,2019,precovid
1340,This New Poker Bot Can Beat Multiple Pros—at Once,2019-07-11,"['poker', 'bot', 'pluribus', 'say', 'sandholm']",chatbots,11,7,2019,precovid
1341,AI's Latest Job? Designing Cool T-Shirts,2019-07-11,"['design', 'designed', 'designer', 'fashion', 'draw', 'drawing', 'create', 'created', 'creating', 'ai']",pattern recognition,11,7,2019,precovid
1342,Visiting lecturer to spearhead project exploring the geopolitics of artificial intelligence,2019-07-12,"['mit', 'videgaray', 'ai policy', 'technology']",object recognition,12,7,2019,precovid
1343,Automated system generates robotic parts for novel tasks,2019-07-12,"['actuator', 'voxels', 'voxel', 'material', 'design', 'designing', 'designated', 'image']",virtual reality,12,7,2019,precovid
1344,The Toxic Potential of YouTube’s Feedback Loop,2019-07-13,"['content', 'ai', 'user', 'youtube', 'recommendation', 'recommended', 'recommend', 'recommending', 'recommender']",machine learning,13,7,2019,precovid
1345,AI enables ‘hybrid drones’ with the attributes of both planes and helicopters,2019-07-15,"['researcher', 'research', 'drone', 'design', 'designed', 'controller', 'control', 'expo']",semantic search,15,7,2019,precovid
1346,MIT Press and Harvard Data Science Initiative launch the Harvard Data Science Review,2019-07-15,"['university', 'research', 'researcher', 'harvard data science']",semantic search,15,7,2019,precovid
1347,"Professor Emeritus Fernando Corbató, MIT computing pioneer, dies at 93",2019-07-15,"['corbat mit', 'time', 'say', 'programming', 'program']",information extraction,15,7,2019,precovid
1348,Rubik’s Cube proves AI isn’t always best at computational tasks,2019-07-16,"['deepcubea', 'ai', 'algorithm', 'expo', 'solving', 'solved', 'solve']",speech generating device,16,7,2019,precovid
1349,Here’s How Elon Musk Plans to Put a Computer in Your Brain,2019-07-17,"['brain', 'musk', 'neuralink', 'people', 'human']",machine learning,17,7,2019,precovid
1350,High-Stakes AI Decisions Need to Be Automatically Audited,2019-07-18,"['ai', 'decision', 'bias', 'explanation', 'audit', 'auditing', 'auditable']",data mining,18,7,2019,precovid
1351,Musk wants to link human brains with machines to ‘stop the AI apocalypse’,2019-07-18,"['musk', 'neuralink', 'brain', 'ai', 'development', 'developed', 'developing']",deep learning,18,7,2019,precovid
1352,"Jonathan Bowl, Hitachi Vantara: On the changing face",2019-07-19,"['data', 'business', 'bowl', 'hitachi', 'company']",question answering,19,7,2019,precovid
1353,No Rekognition: Police ditch Amazon’s controversial facial recognition,2019-07-19,"['amazon', 'expo', 'police', 'policing', 'concern', 'concerned', 'aclu']",speech recognition,19,7,2019,precovid
1354,"Professor Patrick Winston, former director of MIT’s Artificial Intelligence Laboratory, dies at 76",2019-07-19,"['human', 'humanity', 'winston', 'mit', 'intelligence', 'work', 'working']",intelligent agent,19,7,2019,precovid
1355,Prime Minister Mark Rutte of the Netherlands tours MIT,2019-07-21,"['rutte', 'robotics', 'robot', 'robotic', 'mit', 'csail', 'research', 'researcher']",robotics,21,7,2019,precovid
1356,The Best Algorithms Still Struggle to Recognize Black Faces,2019-07-22,"['algorithm', 'nist', 'test', 'tested', 'testing', 'face', 'different', 'difference', 'differing']",speech generating device,22,7,2019,precovid
1357,Microsoft and OpenAI join forces in the quest for artificial general intelligence,2019-07-22,"['agi', 'openai', 'ai', 'development', 'developed', 'developing', 'microsoft']",robotics,22,7,2019,precovid
1358,Ofcom: AI is not ready to effectively moderate online content ‘for the foreseeable future’,2019-07-22,"['content moderation', 'ai', 'human moderator', 'report']",object recognition,22,7,2019,precovid
1359,Want to know what software-driven health care looks like? This class offers some clues.,2019-07-24,"['student', 'say', 'data', 'ai', 'mit']",artificial life,24,7,2019,precovid
1360,Facebook lends its AI powers to the OpenStreetMap community,2019-07-24,"['map', 'mapping', 'mapped', 'facebook', 'expo', 'openstreetmap', 'machine']",machine learning,24,7,2019,precovid
1361,IBM open-sources three AI projects dedicated to curing cancer,2019-07-25,"['cancer', 'help', 'helping', 'interact interaction', 'expo', 'disease']",pattern recognition,25,7,2019,precovid
1362,Drag Queen vs. David Duke: Whose Tweets Are More 'Toxic'?,2019-07-25,"['percent', 'toxicity', 'toxic', 'word', 'drag', 'ai']",silent speech interface,25,7,2019,precovid
1363,Using AI and Film to Track Tear Gas Use Against Civilians,2019-07-25,"['whitney', 'image', 'film', 'canister', 'group']",semantic search,25,7,2019,precovid
1364,Samsung has an AI which generates realistic 3D renders of video scenes,2019-07-30,"['processed', 'video scene', 'process creating', 'create', 'created', 'point']",image processing,30,7,2019,precovid
1365,Alphabet’s AI Might Be Able to Predict Kidney Disease,2019-07-31,"['deepmind', 'prediction', 'predict', 'predictive', 'predicts', 'kidney', 'researcher', 'research', 'say']",handwriting recognition,31,7,2019,precovid
1366,EmoNet: Emotional neural network automatically categorises feelings,2019-07-31,"['ai', 'emotion', 'emotional', 'expo', 'image', 'emonet']",automation,31,7,2019,precovid
1367,Finding novel materials for practical devices,2019-08-01,"['complex', 'property', 'researcher', 'research', 'energy', 'kulik']",semantic search,1,8,2019,precovid
1368,"Model predicts cognitive decline due to Alzheimer’s, up to two years out",2019-08-01,"['model', 'data', 'predicting', 'prediction', 'predict patient', 'visit']",named-entity extraction,1,8,2019,precovid
1369,"AI should be recognised as inventor, team insists",2019-08-02,"['patent', 'dabus machine', 'ai', 'personality', 'person']",facial recognition systems,2,8,2019,precovid
1370,Automating artificial intelligence for medical decision-making,2019-08-05,"['data', 'subject', 'model', 'feature', 'voice', 'voicing']",cognitive,5,8,2019,precovid
1371,Police in China will use AI face recognition to identify ‘lost’ elderly,2019-08-05,"['ai', 'facial', 'year', 'sensetime', 'algorithmic', 'algorithm']",silent speech interface,5,8,2019,precovid
1372,Don’t believe your eyes: Exploring the positives and negatives of deepfakes,2019-08-05,"['deepfakes', 'deepfake', 'technology', 'potentially', 'potential', 'video', 'improving', 'improve', 'improves']",computer vision,5,8,2019,precovid
1373,Facial Recognition Is Suddenly Everywhere. Should You Worry?,2019-08-06,"['people', 'technology government', 'say', 'algorithm']",object recognition,6,8,2019,precovid
1374,Gartner: AI will drive business value by supporting human decisions,2019-08-06,"['ai', 'expo', 'augmented', 'augmentation', 'human', 'business']",automation,6,8,2019,precovid
1375,"Most UK adults fear that AI will replace their jobs, and it might",2019-08-07,"['ai', 'expo', 'like', 'impact', 'allan']",data mining,7,8,2019,precovid
1376,Intel and Lenovo enter into multi-year partnership over AI and HPC,2019-08-07,"['agi', 'intel lenovo', 'hpc', 'expo']",intelligent word recognition,7,8,2019,precovid
1377,"Guided by AI, robotic platform automates molecule manufacture",2019-08-08,"['reaction', 'molecule', 'recipe', 'researcher', 'research', 'drug']",pattern recognition,8,8,2019,precovid
1378,AI Needs Your Data—and You Should Get Paid for It,2019-08-08,"['data', 'chang', 'change', 'song', 'researcher', 'research', 'patient']",named-entity extraction,8,8,2019,precovid
1379,CBI: UK tech dominance is ‘at risk’ due to public mistrust of AI,2019-08-09,"['ai', 'ethical', 'ethic', 'business', 'uk', 'cbi']",artificial intelligence diagnosis,9,8,2019,precovid
1380,UK government to invest £250m in NHS AI lab,2019-08-12,"['nh', 'health', 'lab', 'ai', 'expo']",artificial life,12,8,2019,precovid
1381,Google details Project Euphonia work to improve voice recognition inclusivity,2019-08-14,"['speech', 'google', 'al', 'researcher', 'phoneme']",semantic search,14,8,2019,precovid
1382,DeepMind's Losses and the Future of Artificial Intelligence,2019-08-14,"['deepmind', 'learning', 'learn', 'learned', 'ai', 'likely', 'like', 'million']",deep learning,14,8,2019,precovid
1383,Esteemed consortium launch AI natural language processing benchmark,2019-08-15,"['benchmark', 'benchmarking', 'task', 'facebook', 'ai', 'superglue']",machine learning,15,8,2019,precovid
1384,AI Algorithms Need FDA-Style Drug Trials,2019-08-15,"['testing', 'test', 'society', 'like', 'drug', 'need']",intelligent agent,15,8,2019,precovid
1385,Nvidia CEO calls AI ‘the single most powerful force’ as earnings beat expectations,2019-08-16,"['nvidia', 'ai', 'gaming', 'game', 'driving', 'drive', 'chip']",handwriting recognition,16,8,2019,precovid
1386,Amazon Says It Can Detect Fear on Your Face. You Scared?,2019-08-18,"['emotion', 'emotional', 'image', 'face', 'say', 'software']",automation,18,8,2019,precovid
1387,"Google Assistant wins IQ test, but Alexa and Siri are catching up",2019-08-19,"['assistant', 'assistance', 'question', 'expo', 'percent', 'like']",question answering,19,8,2019,precovid
1388,"To Power AI, This Startup Built a Really, Really Big Chip",2019-08-19,"['ai', 'chip', 'power', 'powerful', 'cerebras', 'learning', 'learn']",language identification,19,8,2019,precovid
1389,Boosting computing power for the future of particle physics,2019-08-19,"['particle', 'lhc data', 'time', 'mit']",virtual reality,19,8,2019,precovid
1390,Microsoft poaches former Siri chief from Apple for its AI division,2019-08-20,"['ai', 'stasior apple', 'microsoft', 'expo']",robotics,20,8,2019,precovid
1391,Intel unwraps its first chip for AI and calls it Spring Hill,2019-08-21,"['intel', 'data', 'ai', 'expo', 'processor']",intelligent agent,21,8,2019,precovid
1392,Artificial intelligence could help data centers run far more efficiently,2019-08-21,"['schedule', 'scheduling', 'scheduler', 'workload', 'processing', 'process', 'job', 'researcher', 'research']",semantic search,21,8,2019,precovid
1393,Report: Companies like Amazon and Microsoft are ‘putting world at risk’ of killer AI,2019-08-22,"['company', 'ai', 'microsoft', 'expo', 'technology']",robotics,22,8,2019,precovid
1394,The Ethics of Hiding Your Data From the Machines,2019-08-22,"['data', 'woman', 'company', 'like', 'likely', 'information', 'informed']",automation,22,8,2019,precovid
1395,Huawei unveils high-end AI chip for servers alongside MindSpore framework,2019-08-23,"['huawei', 'ai', 'ascend', 'expo', 'mindspore']",semantic search,23,8,2019,precovid
1396,IBM gives artificial intelligence computing at MIT a lift,2019-08-26,"['mit', 'satori', 'ibm', 'computing', 'compute', 'computation', 'say']",automation,26,8,2019,precovid
1397,OpenAI Said Its Code Was Risky. Two Grads Re-Created It Anyway,2019-08-26,"['software', 'openai', 'text', 'release', 'released say', 'saying']",speech recognition,26,8,2019,precovid
1398,How Do Machines Learn?,2019-08-26,"['learn', 'learning', 'learned', 'learns', 'machine', 'human', 'image', 'work', 'worked', 'working']",semantic search,26,8,2019,precovid
1399,Two grads recreate OpenAI’s text generator it deemed too dangerous to release,2019-08-27,"['openai', 'expo', 'like', 'fake', 'work']",language identification,27,8,2019,precovid
1400,You’ll never believe what this AI does! (Spoiler: it detects clickbait),2019-08-30,"['clickbait', 'clickbaits', 'researcher', 'research', 'expo', 'machine', 'train', 'training']",handwriting recognition,30,8,2019,precovid
1401,Elon Musk: Humanity Is a Kind of 'Biological Boot Loader' for AI,2019-09-01,"['people', 'world', 'think', 'want', 'wanted', 'know']",named-entity extraction,1,9,2019,precovid
1402,A Molecule Designed by AI Exhibits 'Druglike' Qualities,2019-09-02,"['ai', 'molecule', 'generates potential drug', 'generate', 'generated', 'generating']",intelligent agent,2,9,2019,precovid
1403,Planned Eric Schmidt Talk at AI Conference Draws Protest,2019-09-03,"['google', 'schmidt', 'stanford', 'company', 'ai']",artificial life,3,9,2019,precovid
1404,Behind the Rise of China’s Facial-Recognition Giants,2019-09-03,"['company', 'public', 'government', 'chinese', 'china']",silent speech interface,3,9,2019,precovid
1405,Microsoft and Qualcomm debut their Vision AI Developer Kit,2019-09-04,"['vision ai', 'expo', 'azure', 'microsoft']",robotics,4,9,2019,precovid
1406,YouTube Removes More Videos but Still Misses a Lot of Hate,2019-09-04,"['youtube', 'youtubers', 'video', 'content', 'hate', 'hateful', 'likely', 'like']",pattern recognition,4,9,2019,precovid
1407,"Forget Politics. For Now, Deepfakes Are for Bullies",2019-09-04,"['deepfakes', 'deepfake', 'technology', 'saying', 'say', 'likely', 'like', 'video']",object recognition,4,9,2019,precovid
1408,MIT report examines how to make technology work for society,2019-09-04,"['technological', 'technology', 'worker', 'task', 'mit', 'productivity', 'productive', 'product']",game artificial intelligence,4,9,2019,precovid
1409,"Facebook, Microsoft Back Contest to Better Detect Deepfakes",2019-09-05,"['deepfakes', 'deepfake', 'video', 'facebook', 'contest', 'way']",pattern recognition,5,9,2019,precovid
1410,"Messe Berlin CEO: If you woke up in five years, you’d struggle to recognise devices due to emerging tech like AI",2019-09-05,"['goke', 'ai g', 'expo', 'technology']",object recognition,5,9,2019,precovid
1411,Cold War Analogies are Warping Tech Policy,2019-09-05,"['analogy', 'policy', 'ai', 'cold', 'thinking', 'think']",artificial life,5,9,2019,precovid
1412,How YACHT Used Machine Learning to Create Their New Album,2019-09-05,"['band yacht', 'evans', 'music', 'ai']",artificial life,5,9,2019,precovid
1413,Algorithms Should’ve Made Courts More Fair. What Went Wrong?,2019-09-05,"['algorithm', 'judge', 'score', 'scored', 'scoring', 'defendant', 'risk']",image processing,5,9,2019,precovid
1414,Poll Finds Americans Trust Police Use of Facial Recognition,2019-09-05,"['technology', 'say', 'percent trust', 'trustful', 'police']",pattern recognition,5,9,2019,precovid
1415,Huawei debuts the Kirin 990 as the world’s first SoC with AI and SA 5G,2019-09-06,"['huawei', 'ai', 'kirin', 'expo', 'security']",cybernetics,6,9,2019,precovid
1416,An AI-Run World Needs to Better Reflect People of Color,2019-09-06,"['ai', 'percent', 'data', 'future', 'algorithm']",silent speech interface,6,9,2019,precovid
1417,Do Our Faces Deserve the Same Protection as Our Phones?,2019-09-10,"['technology recognizes', 'recognize', 'people', 'cruise', 'facial']",artificial life,10,9,2019,precovid
1418,McDonald's Acquires Apprente to Double Down on Tech,2019-09-10,"['mcdonald', 'apprente voice', 'customer', 'customizations', 'ordering', 'order']",speech generating device,10,9,2019,precovid
1419,"If Computers Are So Smart, How Come They Can’t Read?",2019-09-10,"['book', 'asked', 'almanzo', 'google', 'reading', 'read']",machine learning,10,9,2019,precovid
1420,We need to do better with our data – can citizen scientists make a difference?,2019-09-10,"['data scientist', 'business', 'user', 'expo']",semantic translation,10,9,2019,precovid
1421,AI Can Pass Standardized Tests—But It Would Fail Preschool,2019-09-10,"['question', 'answering', 'answer', 'answered', 'aristo', 'ai', 'language']",natural language processing,10,9,2019,precovid
1422,Should AI Researchers Get Special Access to Visas?,2019-09-10,"['ai', 'visa', 'special', 'u', 'conference']",speech recognition,10,9,2019,precovid
1423,Computing in Earth science: a non-linear path,2019-09-11,"['learning', 'learn', 'research', 'reilly', 'data', 'mathematics', 'mathematical']",deep learning,11,9,2019,precovid
1424,California Bill Would Halt Facial Recognition on Bodycams,2019-09-11,"['technology', 'say', 'saying', 'aclu', 'public', 'recognition']",handwriting recognition,11,9,2019,precovid
1425,Detecting patients’ pain levels via their brain signals,2019-09-12,"['patient pain', 'signal', 'researcher', 'research', 'model', 'modeling']",pattern recognition,12,9,2019,precovid
1426,Need Some Fashion Advice? Just Ask the Algorithm,2019-09-12,"['client', 'item', 'outfit', 'algorithm', 'algorithmically', 'like', 'likely', 'liked']",virtual reality,12,9,2019,precovid
1427,Using machine learning to estimate risk of cardiovascular death,2019-09-12,"['patient', 'risk', 'model', 'riskcardio', 'team']",pattern recognition,12,9,2019,precovid
1428,Flirty or Friendzone? New AI Scans Your Texts for True Love,2019-09-16,"['conversation', 'conversational', 'say', 'keigo', 'app', 'apps', 'like', 'likely']",semantic translation,16,9,2019,precovid
1429,Artificial Intelligence Confronts a 'Reproducibility' Crisis,2019-09-16,"['research', 'researcher', 'pineau', 'model', 'paper', 'learning', 'learn']",language identification,16,9,2019,precovid
1430,"Elif Tutuk, Qlik: On securing data literacy and the evolution of AI with BI",2019-09-16,"['intelligence ai', 'data', 'qlik', 'expo']",game artificial intelligence,16,9,2019,precovid
1431,What a little more computing power can do,2019-09-16,"['model', 'researcher', 'research', 'say', 'saying', 'train', 'training', 'trained', 'player']",named-entity extraction,16,9,2019,precovid
1432,UK police are concerned AI will lead to bias and over-reliance on automation,2019-09-17,"['police', 'expo', 'technology', 'rusi', 'use']",object recognition,17,9,2019,precovid
1433,Facebook will teach its AI to spot shootings using videos of UK police firearms training,2019-09-18,"['facebook', 'police', 'help', 'expo', 'training', 'train']",semantic translation,18,9,2019,precovid
1434,"The Facebook Portal Smart Speaker Is Back, Now With More AI",2019-09-18,"['facebook', 'device', 'portal', 'say', 'saying', 'new']",speech generating device,18,9,2019,precovid
1435,Notation system allows scientists to communicate polymers more easily,2019-09-18,"['polymer', 'structurally', 'structure', 'structural', 'chemical', 'smile', 'data']",e-mail spam filtering,18,9,2019,precovid
1436,Huawei announces its own AI assistant as it prepares for Google-less life,2019-09-19,"['huawei', 'user', 'assistant', 'service', 'expo']",semantic translation,19,9,2019,precovid
1437,The Viral App That Labels You Isn't Quite What You Think,2019-09-19,"['image', 'label', 'labeled', 'imagenet', 'tool', 'bias']",knowledge management,19,9,2019,precovid
1438,An Exclusive Look Inside Apple’s A13 Bionic Chip,2019-09-19,"['chip', 'apple', 'iphone', 'iphones', 'power', 'powered', 'engineering', 'engine', 'engineer']",deep learning,19,9,2019,precovid
1439,AI Could Reinvent Medicine—Or Become a Patient's Nightmare,2019-09-19,"['patient', 'health', 'data', 'mayo', 'google']",named-entity extraction,19,9,2019,precovid
1440,AI Helps Seismologists Predict Earthquakes,2019-09-22,"['earthquake', 'prediction', 'predicted', 'predict', 'quake', 'publication', 'public', 'publicity', 'seismologist']",facial recognition,22,9,2019,precovid
1441,Microsoft chief Brad Smith warns that killer robots are ‘unstoppable’,2019-09-23,"['ai', 'risk', 'smith', 'expo', 'development', 'developing', 'developer', 'develop']",artificial life,23,9,2019,precovid
1442,Computing and the search for new planets,2019-09-23,"['data', 'planet', 'say', 'te', 'seager']",speech generating device,23,9,2019,precovid
1443,Google Tightens Its Voice Assistant Rules Amid Privacy Backlash,2019-09-23,"['review', 'reviewed', 'reviewer', 'audio', 'google', 'company', 'smart']",speech generating device,23,9,2019,precovid
1444,Algorithms Are Not What You Smartypants Think They Are,2019-09-24,"['algorithm', 'make', 'real', 'morton', 'hyperobject']",information extraction,24,9,2019,precovid
1445,Computing and artificial intelligence: Humanistic perspectives from MIT,2019-09-24,"['computing', 'computation', 'computational', 'read', 'reading', 'professor', 'mit', 'humanity', 'human', 'humane']",deep learning,24,9,2019,precovid
1446,Cisco partners with decentralised AI blockchain firm SingularityNET,2019-09-24,"['ai', 'singularitynet', 'agi', 'agis', 'expo', 'like']",intelligent agent,24,9,2019,precovid
1447,British PM Johnson warns of AI’s dangers in UN speech and invites leaders to summit,2019-09-25,"['johnson', 'technological', 'technology', 'ai', 'new', 'human', 'humanity']",object recognition,25,9,2019,precovid
1448,Alibaba unveils Hanguang 800 AI inference chip to speed-up ML tasks,2019-09-26,"['alibaba', 'chip', 'expo', 'business', 'cloud']",question answering,26,9,2019,precovid
1449,Lincoln Laboratory's new artificial intelligence supercomputer is the most powerful at a university,2019-09-27,"['ai', 'tx', 'performance', 'perform', 'performing', 'llsc ranked', 'ranking', 'rank']",neural modeling fields ,27,9,2019,precovid
1450,Researchers explain how AI can help people with bipolar disorder,2019-09-30,"['expo', 'bipolar', 'help', 'helping', 'life', 'mcinnis']",artificial life,30,9,2019,precovid
1451,Pope Francis warns AI risks a ‘regression to a form of barbarism’,2019-10-01,"['expo', 'ai', 'technology', 'technological', 'pope', 'titled']",facial recognition,1,10,2019,precovid
1452,Blind Spots in AI Just Might Help Protect Your Privacy,2019-10-02,"['data', 'privacy', 'machine learning', 'adversarial']",machine learning,2,10,2019,precovid
1453,Even the AI Behind Deepfakes Can’t Save Us From Being Duped,2019-10-02,"['deepfakes', 'deepfake video', 'political', 'politics', 'google', 'researcher']",artificial intelligence diagnosis,2,10,2019,precovid
1454,Project FARM: AI will help to ensure you can still get your coffee fix,2019-10-02,"['data', 'farmer', 'farm', 'farming', 'increasing', 'increase', 'increased', 'expo']",speech generating device,2,10,2019,precovid
1455,3 Questions: How artificial intelligence is supercharging materials science,2019-10-03,"['algorithm', 'material', 'design', 'designing', 'designed', 'new', 'research']",virtual reality,3,10,2019,precovid
1456,Neil deGrasse Tyson shares Musk’s view that AI is ‘our biggest existential crisis’,2019-10-04,"['ai', 'expo', 'tyson', 'answer', 'intelligent', 'intelligence']",intelligent agent,4,10,2019,precovid
1457,Prepare for the Deepfake Era of Web Video,2019-10-06,"['good advice', 'undermine election', 'played']",intelligent word recognition,6,10,2019,precovid
1458,California introduces legislation to stop political and porn deepfakes,2019-10-07,"['deepfake video', 'deepfakes', 'expo', 'california', 'person', 'personal']",facial recognition,7,10,2019,precovid
1459,A new mathematical approach to understanding zeolites,2019-10-07,"['zeolite', 'transformed', 'transformation', 'transform', 'research', 'researcher', 'form', 'forming', 'pair', 'pairing']",handwriting recognition,7,10,2019,precovid
1460,The Style Maven Astrophysicists of Silicon Valley,2019-10-07,"['work', 'working', 'astrophysicist', 'data', 'like', 'model']",handwriting recognition,7,10,2019,precovid
1461,Killing ‘Dead-End’ Jobs Blocks Career Opportunity,2019-10-07,"['job', 'robot', 'robotic', 'new', 'dish', 'cleaned', 'clean']",robotics,7,10,2019,precovid
1462,"Most Deepfakes Are Porn, and They're Multiplying Fast",2019-10-07,"['deepfakes', 'deepfake', 'pornographic', 'video', 'deeptrace', 'political']",speech generating device,7,10,2019,precovid
1463,US adds Chinese AI firms to ban list citing abuses against Muslims in Xinjiang,2019-10-08,"['company', 'expo', 'ai', 'right', 'china']",machine learning,8,10,2019,precovid
1464,Using machine learning to hunt down cybercriminals,2019-10-08,"['network', 'hijacking', 'hijack', 'hijacker', 'routing', 'route', 'internet', 'say']",named-entity extraction,8,10,2019,precovid
1465,An AI Pioneer Wants His Algorithms to Understand the 'Why',2019-10-08,"['learn', 'deep learning', 'trained', 'training', 'bengio', 'ai']",information extraction,8,10,2019,precovid
1466,Skirt or Jeans? Now an AI Can Offer You Styling Tips,2019-10-09,"['fashion', 'fashionability', 'fashionable', 'research', 'researcher', 'outfit', 'different', 'difference', 'like']",speech generating device,9,10,2019,precovid
1467,Trump's Latest Salvo Against China Targets AI Firms,2019-10-09,"['china', 'technology', 'u', 'company', 'tech']",machine learning,9,10,2019,precovid
1468,Robots help patients manage chronic illness at home,2019-10-10,"['help patient', 'kidd', 'mabu', 'health', 'helping']",deep learning,10,10,2019,precovid
1469,Faster video recognition for the smartphone era,2019-10-11,"['model', 'modeled', 'video', 'ai', 'researcher', 'research', 'time']",semantic search,11,10,2019,precovid
1470,Pinterest uses AI to reduce self-harm content by 88% over the past year,2019-10-11,"['like', 'likely', 'expo', 'pinterest', 'health', 'ai']",silent speech interface,11,10,2019,precovid
1471,Cities Examine Proper—and Improper—Uses of Facial Recognition,2019-10-11,"['resident', 'residence', 'tenant', 'building', 'complex', 'zhang']",speech generating device,11,10,2019,precovid
1472,This Technique Can Make It Easier for AI to Understand Videos,2019-10-15,"['video', 'algorithm', 'ai', 'han', 'researcher']",artificial life,15,10,2019,precovid
1473,Mozilla shares YouTube horror tales in campaign for responsible algorithms,2019-10-15,"['youtube', 'recommendation', 'recommend', 'expo', 'algorithm', 'watching', 'watch', 'watched']",named-entity extraction,15,10,2019,precovid
